,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
0,EA,,712515.0,,,2018,,5150000000,1277000000,3873000000,0.7520388349514563,1320000000,469000000,641000000,1110000000,9000000,2439000000,3716000000,50000000.0,42000000,136000000,1627000000,0.31592233009708737,1434000000,0.2784466019417476,15000000,1449000000,0.28135922330097085,406000000,1043000000,0.20252427184466018,3.39,3.34,308000000,312000000,,,Electronic Gaming & Multimedia,,4258000000,1073000000,5331000000,385000000,0,288000000,6004000000,453000000,1883000000,71000000,1954000000,0,84000000,89000000,2580000000,0,8584000000,48000000,0,0,1730000000,713000000,2491000000,992000000,0,1000000,505000000,1498000000,0,0,3989000000,0,3000000,4062000000,-127000000,657000000,4595000000,4595000000,8584000000,0,8584000000,0,2065000000,-2193000000,0,242000000,271000000,0,-44000000,287000000,0,1692000000,0,-150000000,-2287000000,3166000000,-107000000,622000000,0,78000000,-601000000,0,-120000000,-643000000,22000000,1693000000,4258000000,2565000000,1692000000,-107000000,1585000000,7.9081264520565835,7.9081264520565835,7.055891465475728,34.83973254765101,13.376623376623376,22.926082679621448,21.47626539432624,21.47626539432624,12.820355585037648,7.055891465475728,-0,20.326884478918252,7.9081264520565835,,,21639331480.0,0.28019323671497587,0.5352982292637465,0.8681175190424374,0.4647017707362535,33.30952380952381,0.7520388349514563,0.2784466019417476,22.69858541893362,0.12150512581547064,1.0243500093035423,0.0151,0.022,8.472852682126891,7.736120664095899,Communication Services
1,EA,,712515.0,,,2017,,4845000000,1298000000,3547000000,0.7320949432404541,1205000000,439000000,673000000,1112000000,6000000,2323000000,3621000000,25000000.0,45000000,172000000,1427000000,0.29453044375644993,1224000000,0.25263157894736843,-14000000,1210000000,0.24974200206398348,243000000,967000000,0.1995872033023736,3.19,3.08,303000000,314000000,,,Electronic Gaming & Multimedia,,2565000000,1967000000,4532000000,359000000,0,308000000,5199000000,434000000,1707000000,8000000,1715000000,0,286000000,84000000,2519000000,0,7718000000,87000000,0,0,1686000000,642000000,2415000000,990000000,0,1000000,252000000,1243000000,0,0,3658000000,0,3000000,3027000000,-19000000,1049000000,4060000000,4060000000,7718000000,0,7718000000,0,2957000000,392000000,0,196000000,48000000,0,5000000,181000000,0,1383000000,0,0,-1917000000,1281000000,-123000000,-759000000,-163000000,72000000,-508000000,0,65000000,-534000000,-18000000,72000000,2565000000,2493000000,1383000000,-123000000,1260000000,7.076467957906404,7.076467957906404,5.929919485882352,29.71092027828335,13.495821727019498,22.801952308809522,20.774012949457703,20.774012949457703,10.755566122245945,5.929919485882352,-0,19.029754666503152,7.076467957906404,,,,,0.5260430163254729,0.9009852216748768,0.4739569836745271,26.333333333333332,0.7320949432404541,0.25263157894736843,23.817733990147783,0.12529152630215082,,0.025699999999999997,0.0326,,,Communication Services
2,EA,,712515.0,,,2016,,4396000000,1354000000,3042000000,0.6919927206551411,1109000000,406000000,622000000,1028000000,7000000,2144000000,3498000000,15000000.0,28000000,197000000,1102000000,0.25068243858052774,898000000,0.20427661510464057,-21000000,877000000,0.1994995450409463,-279000000,1156000000,0.2629663330300273,3.73,3.5,310000000,330000000,,,Electronic Gaming & Multimedia,,2493000000,1341000000,3834000000,233000000,33000000,254000000,4354000000,439000000,1710000000,57000000,1767000000,0,387000000,103000000,2696000000,0,7050000000,89000000,163000000,0,1535000000,633000000,2420000000,989000000,0,2000000,243000000,1234000000,0,0,3654000000,0,3000000,2060000000,-16000000,1349000000,3396000000,3396000000,7050000000,0,7050000000,0,1152000000,-1341000000,0,178000000,-318000000,0,13000000,-228000000,10000000,1223000000,0,0,-1332000000,941000000,-93000000,-484000000,-470000000,107000000,-1018000000,0,1075000000,-306000000,-8000000,425000000,2493000000,2068000000,1223000000,-93000000,1130000000,5.645906812426384,5.645906812426384,4.361578602138308,16.586072262110726,18.86695278969957,16.967698703539824,15.677432162714634,15.677432162714634,6.142989726707675,4.361578602138308,-0,16.181941501814883,5.645906812426384,,,,,0.4817021276595745,1.0759717314487633,0.5182978723404256,30.785714285714285,0.6919927206551411,0.20427661510464057,34.04004711425206,0.16397163120567376,,0.0165,0.0234,,,Communication Services
3,EA,,712515.0,,,2015,,4515000000,1429000000,3086000000,0.6834994462901439,1094000000,386000000,647000000,1033000000,14000000,2141000000,3570000000,10000000.0,31000000,220000000,1176000000,0.26046511627906976,948000000,0.20996677740863787,-23000000,925000000,0.20487264673311184,50000000,875000000,0.1937984496124031,2.81,2.69,311000000,325000000,,,Electronic Gaming & Multimedia,,2068000000,953000000,3021000000,362000000,36000000,301000000,3720000000,459000000,1713000000,111000000,1824000000,0,13000000,131000000,2427000000,0,6147000000,68000000,633000000,0,1397000000,680000000,2778000000,0,0,80000000,253000000,333000000,0,0,3111000000,0,3000000,904000000,2000000,2127000000,3036000000,3036000000,6147000000,0,6147000000,0,633000000,-1435000000,0,144000000,-169000000,0,-46000000,-206000000,-3000000,1067000000,0,0,-1102000000,727000000,-95000000,-470000000,0,60000000,-337000000,0,22000000,-255000000,-56000000,286000000,2068000000,1782000000,1067000000,-95000000,972000000,5.950589612055336,5.950589612055336,4.001326702591362,20.64684578537143,12.472375690607734,18.586409529012347,16.931574566260544,16.931574566260544,7.671647597670866,4.001326702591362,-0,14.141998352210885,5.950589612055336,,,,,0.49389946315275746,1.024703557312253,0.5061005368472425,29.516129032258064,0.6834994462901439,0.20996677740863787,28.820816864295125,0.142345859768993,,0.0084,0.0153,,,Communication Services
4,EA,,712515.0,,,2014,,3575000000,1347000000,2228000000,0.6232167832167832,1125000000,410000000,680000000,1090000000,16000000,2231000000,3578000000,5000000.0,30000000,227000000,264000000,0.07384615384615385,33000000,0.009230769230769232,-26000000,7000000,0.001958041958041958,-1000000,8000000,0.0022377622377622378,0.03,0.03,308000000,316000000,,,Electronic Gaming & Multimedia,,1782000000,583000000,2365000000,327000000,56000000,390000000,3138000000,510000000,1723000000,177000000,1900000000,0,28000000,140000000,2578000000,0,5716000000,119000000,0,0,1611000000,660000000,2390000000,580000000,0,18000000,306000000,904000000,0,0,3294000000,0,3000000,29000000,37000000,2353000000,2422000000,2422000000,5716000000,0,5716000000,0,1163000000,-619000000,0,150000000,360000000,0,-18000000,462000000,-33000000,712000000,0,-5000000,-600000000,401000000,-97000000,-301000000,0,77000000,0,0,12000000,89000000,-10000000,490000000,1782000000,1292000000,712000000,-97000000,615000000,3.598843828901734,3.598843828901734,2.438153777230769,1089.5499691999999,10.932721712538227,14.173007729430894,12.242134485393256,12.242134485393256,400.93356094814806,2.438153777230769,,28.463635430303032,3.598843828901734,,,,,0.42372288313505946,1.3600330305532617,0.5762771168649405,0.06666666666666667,0.6232167832167832,0.009230769230769232,0.3303055326176713,0.0013995801259622112,,0.0063,0.2063,,,Communication Services
5,EA,,712515.0,,,2013,,3797000000,1388000000,2409000000,0.6344482486173295,1153000000,354000000,788000000,1142000000,30000000,2325000000,3713000000,6000000.0,29000000,264000000,432000000,0.11377403213062945,121000000,0.03186726362918093,18000000,139000000,0.03660784830129049,41000000,98000000,0.025809849881485384,0.32,0.31,310000000,313000000,,,Electronic Gaming & Multimedia,,1292000000,388000000,1680000000,312000000,42000000,291000000,2325000000,548000000,1721000000,253000000,1974000000,0,53000000,170000000,2745000000,0,5070000000,136000000,0,0,1123000000,658000000,1917000000,559000000,0,1000000,326000000,886000000,0,0,2803000000,0,3000000,21000000,69000000,2174000000,2267000000,2267000000,5070000000,0,5070000000,0,947000000,-345000000,0,164000000,-108000000,0,-78000000,-11000000,-94000000,324000000,0,21000000,-414000000,531000000,-106000000,32000000,0,34000000,-349000000,0,-30000000,-345000000,-12000000,-1000000,1292000000,1293000000,324000000,-106000000,218000000,2.4080724243493603,2.4080724243493603,1.4377403702923361,55.705103938775515,12.169871794871796,25.041743972477065,16.849074648148147,16.849074648148147,20.631519977324263,1.4377403702923361,,10.940046726851852,2.4080724243493603,,,,,0.44714003944773173,1.2364358182620203,0.5528599605522683,4.586206896551724,0.6344482486173295,0.03186726362918093,4.322893692104103,0.01932938856015779,,0.002,0.0162,,,Communication Services
6,LLY,,59478.0,,,2018,,24555700000,6430000000,18125700000,0.738146336695757,5307100000,0,6631800000,6631800000,0,11938900000,18368900000,161300000.0,272100000,1609000000,5676800000,0.23118054056695594,6186800000,0.25194964916495965,-2391100000,3795700000,0.15457510883420142,563700000,3232000000,0.13161913527205496,3.14,3.13,1027721000,1033667000,,,Drug Manufacturers—General,,7998200000,88200000,8086400000,6204900000,4111800000,2146500000,20549600000,8919500000,4347500000,3521000000,7868500000,2020700000,2657700000,1892400000,23358800000,0,43908400000,1412300000,1131200000,404000000,0,8940600000,11888100000,11639700000,0,0,9471500000,21111200000,0,0,32999300000,0,661000000,11395900000,-5729200000,3501000000,9828700000,9828700000,42828000000,0,42828000000,2108900000,12770900000,4772700000,326800000,279500000,-2378700000,0,-284500000,8661500000,2455900000,5524500000,-1210600000,0,-950100000,6062000000,-1995300000,1906000000,-1009100000,1659700000,-4150700000,-2311800000,-93000000,-5904900000,-63600000,1462000000,7998200000,6536200000,5524500000,-3018200000,2506300000,12.2276289037747,12.2276289037747,4.894248431383768,37.184930756971035,3.9574690970039805,47.95183984619973,21.754311920812818,21.754311920812818,6.1700977158217265,4.894248431383768,0.01923587428843746,22.011414213382608,12.2276289037747,116.94,124.72,109968253120.0,0.1485101562294175,0.22384555119293803,3.3574429985654257,0.7515486786127483,13.356854097758177,0.738146336695757,0.25194964916495965,32.88329077090562,0.07360778347651019,0.8112906012547595,0.0151,0.022,6.71368465995628,6.017080855593744,Healthcare
7,LLY,,59478.0,,,2017,,22871300000,6070200000,16801100000,0.734593136376157,5281800000,513700000,6588100000,7101800000,0,12383600000,18453800000,167300000.0,225000000,1567300000,3989700000,0.1744413304009829,2145000000,0.09378566150590478,52400000,2197400000,0.0960767424676341,2401500000,-204100000,-0.00892384779177397,-0.19,-0.19,1052023000,1052023000,,,Drug Manufacturers—General,,6536200000,1497900000,8034100000,5262200000,4458300000,1447500000,19202100000,8826500000,4370100000,4029200000,8399300000,5678800000,0,2874300000,25778900000,0,44981000000,1410700000,3706600000,532900000,0,8885700000,14535900000,9940500000,0,0,8836700000,18777200000,0,0,33313100000,0,687900000,13894100000,-5718600000,2728800000,11592200000,11592200000,44905300000,0,44905300000,7176700000,13647100000,7110900000,-787900000,281300000,3204900000,0,916300000,4666200000,1554100000,5615600000,-1076800000,-882100000,-8001300000,7438500000,-1261900000,-3783600000,-630600000,0,-299800000,-2192100000,3265100000,142600000,-20500000,1954100000,6536200000,4582100000,5615600000,-2163600000,3452000000,7.812896273141845,7.812896273141845,3.9599260285823235,-443.7464780867952,4.346338033522101,26.236574790705358,16.128046188744726,16.128046188744726,-75.37199107420517,3.9599260285823235,0.02420373772250166,24.48293259581294,7.812896273141845,,,,,0.25771325670838796,2.8737513155397596,0.7406038104977657,9.022666666666666,0.734593136376157,0.09378566150590478,-1.7606666551646797,-0.004537471376803539,,0.025699999999999997,0.0326,,,Healthcare
8,LLY,,59478.0,,,2016,,21222100000,5654900000,15567200000,0.7335372088530353,5243900000,0,6452000000,6452000000,0,11695900000,17350800000,108700000.0,185200000,1496600000,5055800000,0.23823278563384395,3458800000,0.16298104334632293,-84800000,3374000000,0.15898520881533873,636400000,2737600000,0.1289976015568676,2.486749,2.486749,1100875000,1100875000,,,Drug Manufacturers—General,,4582100000,1456500000,6038600000,4766300000,3561900000,734600000,15101400000,8252600000,3972700000,4357900000,8330600000,5207500000,0,1913800000,23704500000,0,38805900000,1349300000,1937400000,119100000,0,7580800000,10986600000,8367800000,0,0,5371000000,13738800000,0,0,24725400000,0,688500000,16046300000,-5274000000,2546900000,14007700000,14007700000,38733100000,0,38733100000,6664000000,10305200000,5723100000,439500000,255300000,-484100000,0,819000000,4114800000,406100000,4851000000,-1037000000,-45000000,-5673400000,3728000000,-111700000,-3139100000,-200000,0,-600100000,-2158500000,2199000000,-559800000,-236400000,915700000,4582100000,3666400000,4851000000,-1092000000,3759000000,5.8707253215936595,5.8707253215936595,3.87498688100082,30.039216498863055,4.452531313597549,21.876924471212426,16.9522488326711,16.9522488326711,5.339203135958453,3.87498688100082,0.026247833340265377,17.397535323250032,5.8707253215936595,,,,,0.3609683063657846,1.7651291789515766,0.6371556902429785,17.63120950323974,0.7335372088530353,0.16298104334632293,19.54353676906273,0.07054597367926012,,0.0165,0.0234,,,Healthcare
9,LLY,,59478.0,,,2015,,19958700000,5037200000,14921500000,0.7476188328899177,4796400000,0,6533000000,6533000000,0,11329400000,16366600000,87000000.0,161200000,1427700000,4378900000,0.21939805698767956,2689400000,0.1347482551468783,100600000,2790000000,0.139788663590314,381600000,2408400000,0.12066918186054201,2.179021,2.179021,1105267000,1105267000,,,Drug Manufacturers—General,,3666400000,785400000,4451800000,4071600000,3445800000,604400000,12573600000,8053500000,4039900000,5034800000,9074700000,3646600000,0,2220500000,22995300000,0,35568900000,1338200000,6100000,358900000,0,6526400000,8229600000,7972400000,0,0,4776600000,12749000000,0,0,20978600000,0,691300000,16011800000,-4580700000,2448900000,14571300000,14571300000,35549900000,0,35549900000,4432000000,7978500000,4312100000,-748400000,217800000,-918000000,0,461600000,4344000000,385300000,2772800000,-1066200000,-5283100000,-4068700000,5230200000,5214600000,26800000,-1955700000,0,-749500000,-2127300000,1913300000,-2919200000,-85600000,-205200000,3666400000,3871600000,2772800000,-1626200000,1146600000,5.999918884526398,5.999918884526398,4.380376379328288,36.30070504986693,4.901930445033893,76.24857669815061,31.53008440641211,31.53008440641211,6.477868054369967,4.380376379328288,0.024332406395677093,20.950174254287493,5.999918884526398,,,,,0.40966406045730963,1.439720546553842,0.589801765025064,16.767990074441688,0.7476188328899177,0.1347482551468783,16.5283811327747,0.0677108372763847,,0.0084,0.0153,,,Healthcare
