,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
0,MCHP,,827054.0,,,2018,,3980800000,1560100000,2420700000,0.6080938504823151,529300000,452100000,0,452100000,485500000,1466900000,3027000000,22000000.0,199000000,615900000,1552200000,0.3899216237942122,936300000,0.23520397909967847,-199000000,737300000,0.18521402733118972,481900000,255400000,0.06415795819935691,0.55,0.515,465800000,497800000,,,Semiconductors,,901300000,1295300000,2196600000,563700000,476200000,119800000,3356300000,767900000,2299000000,1662000000,3961000000,0,100200000,71800000,4900900000,0,8257200000,144100000,1309900000,0,333800000,229600000,2017400000,1758400000,0,205800000,995800000,2960000000,0,0,4977400000,0,200000,1397300000,-18000000,1900300000,3279800000,3279800000,8257200000,0,8257200000,0,3068300000,2167000000,51200000,93200000,264500000,-85300000,-13900000,55000000,139400000,1419600000,0,0,-1594800000,786700000,-203600000,-1011700000,-261200000,42000000,0,-337500000,141400000,-415300000,0,-7400000,901300000,908700000,1419600000,-206800000,1212800000,5.940732617366912,5.940732617366912,4.894597778948954,76.28979968065778,7.061912364733014,16.06564548024406,13.72528517782474,13.72528517782474,101.70517656339553,4.894597778948954,0.017321536356029548,13.948856357711634,5.940732617366912,41.83,43.76,19698743009.0,0.6536009765360098,0.3972048636341617,1.5175925361302518,0.6027951363658383,3.594472361809045,0.6080938504823151,0.23520397909967847,7.787060186596744,0.030930581795281693,1.2227871275140918,0.0151,0.0313,10.111288815807319,8.750058019844097,Technology
1,MCHP,,827054.0,,,2017,,3407807000,1650611000,1757196000,0.5156383562801532,545293000,499811000,0,499811000,337667000,1382771000,3033382000,3079000.0,146346000,469208000,699388000,0.20523110610430698,275817000,0.0809368018787449,-186030000,89787000,0.02634744279825706,-80805000,164639000,0.04831230172365982,0.38,0.355,434392000,469612000,,,Semiconductors,,908684000,394088000,1302772000,478373000,417202000,106693000,2305040000,683338000,2299009000,2148092000,4447101000,107457000,68870000,75075000,5381841000,0,7686881000,149233000,49952000,0,292815000,212450000,704450000,2900524000,0,409045000,402151000,3711720000,0,0,4416170000,0,229000,1479400000,-14000000,1805082000,3270711000,3270711000,7686881000,0,7686881000,501545000,2950476000,2041792000,-126888000,128155000,294821000,-46831000,-16070000,134011000,129517000,1059452000,0,-2745770000,-500309000,470565000,-62459000,-2837973000,-3217988000,42210000,0,-315429000,4086668000,595461000,-1007000,-1184067000,908684000,2092751000,1059452000,-75310000,984142000,5.01899252821567,5.01899252821567,4.817078570163393,99.70708077036912,7.12374444209853,16.680188500188795,15.494495334335864,15.494495334335864,123.96095658271946,4.817078570163393,0.019215111035747547,26.39088184377313,5.01899252821567,,,,,0.4254926022661207,1.3502171240442826,0.5745073977338793,0.5924862995913793,0.5156383562801532,0.0809368018787449,5.033737312773889,0.021418179883362316,,0.025699999999999997,0.2007,,,Technology
2,MCHP,,827054.0,,,2016,,2173334000,967870000,1205464000,0.5546611795517854,372596000,301670000,0,301670000,174896000,849162000,1817032000,24447000.0,104018000,283171000,668689000,0.30767889335003273,352345000,0.16212188278469852,-71052000,281293000,0.1294292547763022,-42632000,324132000,0.14914044504894325,0.795,0.745,406768000,434776000,,,Semiconductors,,2092751000,353284000,2446035000,290183000,306815000,53680000,3096713000,609396000,1012652000,606349000,1619001000,118549000,14831000,109025000,2470802000,0,5567515000,79312000,0,0,183432000,119265000,382009000,2483037000,0,399218000,152332000,3034587000,0,0,3416596000,0,204000,1582585000,-3000000,571130000,2150919000,2150919000,5567515000,0,5567515000,471833000,2836321000,743570000,-60425000,71420000,78878000,-2150000,-20836000,53619000,47307000,744483000,0,-359312000,-1573867000,2824231000,-90655000,800397000,-1615128000,28718000,-363829000,-291087000,2181382000,-59944000,0,1484936000,2092751000,607815000,744483000,-97895000,646588000,4.594514531080343,4.594514531080343,4.54712832941315,30.48890143730579,7.489529021341705,15.283965370029756,13.27421660491482,13.27421660491482,35.49487538594734,4.54712832941315,0.02945500663471172,15.36246984872908,4.594514531080343,,,,,0.38633375931631975,1.5884354547986232,0.6136662406836803,2.4692457074737066,0.5546611795517854,0.16212188278469852,15.06946565630784,0.058218433178895794,,0.0165,0.0407,,,Technology
3,MCHP,,827054.0,,,2015,,2147036000,917472000,1229564000,0.5726797314996116,349543000,274815000,0,274815000,176746000,801104000,1718576000,19527000.0,62034000,278298000,689923000,0.32133741586074943,425620000,0.19823607987942446,-79713000,345907000,0.16110908247463013,-19418000,369009000,0.17186903247081092,0.92,0.825,401874000,447122000,,,Semiconductors,,607815000,1351054000,1958869000,273937000,279456000,152355000,2664617000,581572000,571271000,504417000,1075688000,383326000,0,75510000,2116096000,0,4780713000,86866000,0,0,166128000,100978000,353972000,1826858000,0,381192000,157665000,2365715000,0,0,2719687000,0,202000,1549540000,11000000,483912000,2044654000,2044654000,4764341000,0,4764341000,1734380000,3177912000,2570097000,-32811000,58596000,-8961000,-15893000,-33992000,15407000,57051000,721182000,0,-659929000,-959318000,1097065000,-156135000,-678317000,-3182867000,34433000,0,-286478000,3533460000,98548000,-201000,141212000,607815000,466603000,721182000,-149472000,571710000,4.683754503115246,4.683754503115246,4.460408386171728,25.952368044715982,7.837699909103188,16.75090059612846,13.279113150096093,13.279113150096093,29.849976976537466,4.460408386171728,0.029914195385530848,15.647688770794133,4.683754503115246,,,,,0.42768808753003995,1.330145344884758,0.5688873186907476,5.261308314795112,0.5726797314996116,0.19823607987942446,18.047503391771908,0.07718702210318837,,0.0084,0.022600000000000002,,,Technology
4,MCHP,,827054.0,,,2014,,1931217000,802474000,1128743000,0.5844723819229015,305043000,267278000,0,267278000,94534000,666855000,1469329000,16485000.0,48716000,189139000,670209000,0.34703971640680464,458864000,0.2376035422223396,-26510000,432354000,0.22387644682083888,37073000,395281000,0.20467974339496806,0.995,0.91,396582000,435260000,,,Semiconductors,,466603000,878182000,1344785000,242405000,262725000,119484000,1969399000,531967000,276097000,445499000,721596000,798712000,0,45956000,2098231000,0,4067630000,74050000,17500000,0,147798000,96731000,336079000,1003258000,0,375316000,217516000,1596090000,0,0,1932169000,0,200000,1467009000,1000000,667252000,2135461000,2135461000,4067630000,0,4067630000,1676894000,1020758000,554155000,5321000,53787000,15372000,-12508000,-11633000,58013000,17664000,676564000,0,-11187000,-1337482000,951296000,-105906000,-503279000,-1103954000,37446000,0,-281204000,1112696000,-235016000,0,-61731000,466603000,528334000,676564000,-113072000,563492000,4.4143884333598225,4.4143884333598225,4.881250702686959,23.84823540289313,7.96690249788577,16.72917155574702,13.933278061337877,13.933278061337877,27.068634494991883,4.881250702686959,0.029830415634972428,14.892234121432267,4.4143884333598225,,,,,0.5249889985077305,0.9048018203095257,0.47501100149226944,8.536599885048034,0.5844723819229015,0.2376035422223396,18.51033570737185,0.09717722605055032,,0.0063,0.0132,,,Technology
5,MCHP,,827054.0,,,2013,,1581623000,743164000,838459000,0.5301256999929819,254723000,261471000,0,261471000,111537000,627731000,1370895000,15560000.0,40915000,204097000,397189000,0.25112748107481997,178553000,0.11289226320052251,-26376000,152177000,0.0962157227101528,24788000,127389000,0.08054321415406832,0.325,0.31,389190000,411552000,,,Semiconductors,,528334000,1050263000,1578597000,229955000,242334000,185484000,2236370000,514544000,271348000,530136000,801484000,257450000,0,41557000,1615035000,0,3851405000,75551000,0,0,138952000,127108000,341611000,983385000,0,388250000,204689000,1576324000,0,0,1917935000,0,196000,1352932000,7000000,573342000,1933470000,1933470000,3851405000,0,3851405000,1307713000,2033648000,1505314000,-28368000,52069000,77163000,386000,-40914000,51824000,13829000,446179000,0,-752302000,-985791000,856579000,-55242000,-936756000,0,35695000,0,-273822000,620297000,382170000,986000,-107421000,528334000,635755000,446179000,-50818000,395361000,3.6655078949913884,3.6655078949913884,4.480934805404955,55.63392090156136,6.877967428409907,17.92576796833527,15.88409483576995,15.88409483576995,61.96956404029383,4.480934805404955,0.03863640777983448,18.98894619369872,3.6655078949913884,,,,,0.5020167964677825,0.9919652231480188,0.4979832035322175,3.3390443602590736,0.5301256999929819,0.11289226320052251,6.588620459588201,0.03307598136264558,,0.002,0.0182,,,Technology
6,MU,,723125.0,,,2018,,30391000000,12500000000,17891000000,0.588694021256293,2141000000,0,0,813000000,11000000,2965000000,15465000000,120000000.0,342000000,4759000000,19404000000,0.6384784969234313,14994000000,0.49336974762265146,-687000000,14307000000,0.4707643710308973,168000000,14135000000,0.4651048007633839,12.27,11.51,1152000000,1229000000,,,Semiconductors,,6506000000,296000000,6802000000,5478000000,3595000000,164000000,16039000000,23672000000,1228000000,331000000,1559000000,473000000,1022000000,611000000,27337000000,0,43376000000,1692000000,859000000,402000000,491000000,2310000000,5754000000,3780000000,0,0,678000000,4458000000,0,845000000,10212000000,0,117000000,24395000000,10000000,7772000000,32294000000,32294000000,42506000000,0,42506000000,769000000,4639000000,-1867000000,0,198000000,-1922000000,0,0,-265000000,227000000,17400000000,-8879000000,0,-945000000,1087000000,521000000,-8216000000,-10194000000,0,0,0,2418000000,-7776000000,-37000000,1371000000,6587000000,5216000000,17400000000,-8879000000,8521000000,1.6134563517681302,1.6134563517681302,1.7144865066631567,3.68623695960382,5.547827674333698,6.114887856354888,2.9945378979310346,2.9945378979310346,1.5804037876678827,1.7144865066631567,-0,2.5447824893836324,1.6134563517681302,45.23,50.88,34623142415.0,0.011742503669532396,0.7445130947989672,0.31621973121942154,0.23542973072666912,41.48245614035088,0.588694021256293,0.49336974762265146,43.76974050907289,0.3258714496495758,1.429786696544026,0.0151,0.022,11.820422553554222,10.426354953680546,Technology
7,MU,,723125.0,,,2017,,20322000000,11886000000,8436000000,0.41511662237968705,1824000000,0,0,743000000,5000000,2572000000,14458000000,41000000.0,601000000,3861000000,9665000000,0.4755929534494636,5868000000,0.2887511071744907,-672000000,5196000000,0.2556834957189253,114000000,5089000000,0.2504182659187088,4.67,4.41,1089000000,1154000000,,,Semiconductors,,5109000000,319000000,5428000000,3759000000,3123000000,147000000,12457000000,19431000000,1228000000,387000000,1615000000,633000000,766000000,434000000,22879000000,0,35336000000,1333000000,1262000000,163000000,605000000,1971000000,5334000000,9893000000,0,0,639000000,10532000000,0,1190000000,15866000000,0,112000000,10260000000,29000000,8220000000,18621000000,18621000000,34487000000,0,34487000000,952000000,11155000000,6046000000,0,215000000,-1180000000,0,0,-143000000,167000000,8153000000,-4734000000,-2634000000,-1513000000,1154000000,190000000,-7537000000,-2558000000,0,-35000000,0,2942000000,349000000,-12000000,953000000,5216000000,4263000000,8153000000,-4734000000,3419000000,2.3001112700821653,2.3001112700821653,2.107586456067316,8.416264877225387,5.406225059856345,12.527163486458027,5.253326623353367,5.253326623353367,3.410983420654428,2.107586456067316,-0,4.933923637889291,2.3001112700821653,,,,,0.5269696626669685,0.8520487621502605,0.44900384876613086,8.577371048252912,0.41511662237968705,0.2887511071744907,27.329359325492725,0.1440174326465927,,0.025699999999999997,0.0326,,,Technology
8,MU,,723125.0,,,2016,,12399000000,9894000000,2505000000,0.20203242196951368,1617000000,0,0,659000000,-2000000,2274000000,12168000000,42000000.0,437000000,2980000000,3160000000,0.25485926284377775,168000000,0.013549479796757804,-449000000,-281000000,-0.022663117993386564,19000000,-276000000,-0.022259859666102104,-0.27,-0.27,1036000000,1036000000,,,Semiconductors,,4140000000,258000000,4398000000,2068000000,2889000000,140000000,9495000000,14686000000,104000000,464000000,568000000,1778000000,657000000,356000000,18045000000,0,27540000000,1186000000,756000000,41000000,332000000,2520000000,4835000000,9154000000,0,0,623000000,9777000000,0,1406000000,14612000000,0,109000000,5299000000,-35000000,6707000000,12080000000,12080000000,26692000000,0,26692000000,2036000000,9910000000,5770000000,0,191000000,110000000,0,0,-78000000,162000000,3168000000,-5817000000,6000000,-1178000000,4025000000,-104000000,-3068000000,-870000000,0,-148000000,0,2763000000,1745000000,8000000,1853000000,4140000000,2287000000,3168000000,-5817000000,-2649000000,1.5248411196357614,1.5248411196357614,1.485610188337769,-66.7394229173913,5.995647969052224,-6.953597857757643,5.814419420833333,5.814419420833333,-25.732058854639888,1.485610188337769,-0,7.415848330759493,1.5248411196357614,,,,,0.4386347131445171,1.2096026490066225,0.5305737109658678,-0.7391304347826086,0.20203242196951368,0.013549479796757804,-2.28476821192053,-0.010021786492374727,,0.0165,0.21650000000000003,,,Technology
9,MU,,723125.0,,,2015,,16192000000,10977000000,5215000000,0.32207262845849804,1540000000,0,0,719000000,-28000000,2231000000,13208000000,35000000.0,371000000,2667000000,6094000000,0.3763586956521739,2998000000,0.18515316205533597,-389000000,2609000000,0.16112895256916995,157000000,2899000000,0.17903903162055335,2.71,2.47,1070000000,1170000000,,,Semiconductors,,2287000000,1234000000,3521000000,2507000000,2340000000,228000000,8596000000,10554000000,0,449000000,449000000,3492000000,597000000,455000000,15547000000,0,24143000000,1020000000,1089000000,85000000,220000000,1491000000,3905000000,6301000000,0,0,698000000,6999000000,0,792000000,10904000000,0,108000000,5588000000,13000000,6593000000,12302000000,12302000000,23206000000,0,23206000000,4726000000,7390000000,5103000000,0,168000000,-30000000,0,0,152000000,-496000000,5208000000,-4021000000,1000000,-4524000000,2248000000,64000000,-6232000000,-2329000000,0,-884000000,0,2495000000,-718000000,-121000000,-1863000000,2287000000,4150000000,5208000000,-4021000000,1187000000,1.3838156223378313,1.3838156223378313,1.0513648583250987,5.87226622490514,6.458715596330276,14.341785834877843,3.2687595595238097,3.2687595595238097,2.3384163977106436,1.0513648583250987,-0,3.4521988490318347,1.3838156223378313,,,,,0.5095472807853207,0.8863599414729312,0.4516422979745682,6.938005390835579,0.32207262845849804,0.18515316205533597,23.565273939196878,0.12007621256678955,,0.0084,0.0169,,,Technology
