,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
0,CMG,,1058090,,,2018,,4864985000,3953993000,910992000,0.1872548425123613,0,375460000,0,375460000,210525000,585985000,4539978000,0.0,0,201979000,470415000,0.09669402886134285,258368000,0.05310766631346243,10068000,268436000,0.05517714854208183,91883000,176553000,0.036290553824934714,6.35,6.31,27823000,27962000,,,Restaurants,,249953000,426845000,676798000,62312000,21555000,54129000,814794000,1379254000,21939000,0,21939000,0,0,49531000,1450724000,0,2265518000,113071000,0,26891000,70474000,239554000,449990000,0,0,11566000,362623000,374189000,0,0,824179000,0,360000,2573617000,-6236000,-1126402000,1441339000,1441339000,2265518000,0,2265518000,0,0,-249953000,10585000,69164000,104077000,-8298000,32080000,42565000,59194000,621552000,-287390000,0,-485188000,385000000,0,-387578000,0,0,-160937000,0,-5598000,-166535000,-1457000,65982000,280152000,214170000,621552000,-287390000,334162000,10.288420686278522,10.288420686278522,3.0481290247636936,83.9923534776526,78.07460842213378,44.3769847664905,23.8581840031727,23.8581840031727,6.568697545040077,3.0481290247636936,-0,30.992100557040057,10.288420686278522,532.98,541.96,11926817022.0,0.34229015482275105,0.636207260326336,0.5718148194144472,0.36379273967366405,inf,0.1872548425123613,0.05310766631346243,12.24923491281371,0.07793052184974915,0.658559752316144,0.0151,0.022,5.45263156724204,5.45263156724204,Consumer Cyclical
1,CMG,,1058090,,,2017,,4476412000,3720196000,756216000,0.16893351192875009,0,296388000,0,296388000,175689000,472077000,4192273000,0.0,0,163348000,439091000,0.09808994346364901,270794000,0.06049353812830455,4949000,275743000,0.061599111073779626,99490000,176253000,0.03937372163241453,6.19,6.17,28491000,28561000,,,Restaurants,,184569000,324382000,508951000,49806000,19860000,50918000,629535000,1338366000,21939000,0,21939000,0,0,55852000,1416157000,0,2045692000,82028000,0,18920000,63645000,159300000,323893000,0,0,814000,356540000,357354000,0,0,681247000,0,359000,2397064000,-3659000,-1029319000,1364445000,1364445000,2045692000,0,2045692000,0,0,-184569000,-18026000,65255000,66934000,-140000,10908000,25823000,13341000,467105000,-216777000,0,-199801000,330000000,0,-86578000,0,0,-285920000,0,26000,-285894000,2056000,96689000,184569000,87880000,467105000,-216777000,250328000,6.725357863172938,6.725357863172938,2.0499410933616034,52.06368634642815,89.876962614946,36.65742909149996,19.6452209024031,19.6452209024031,4.169444206855305,2.0499410933616034,-0,20.47824234524734,6.725357863172938,,,,,0.6669845705023043,0.4992850572943578,0.33301542949769564,inf,0.16893351192875009,0.06049353812830455,12.917559886987018,0.0861581313315983,,0.025699999999999997,0.0326,,,Consumer Cyclical
2,CMG,,1058090,,,2016,,3904384000,3406170000,498214000,0.12760373979608564,0,276240000,0,276240000,163530000,439770000,3845940000,0.0,0,146368000,185107000,0.0474100395862702,34567000,0.008853381224797561,4172000,38739000,0.009921923663246238,15801000,22938000,0.005874934432678753,0.78,0.77,29265000,29770000,,,Restaurants,,87880000,329836000,417716000,45559000,15019000,44080000,522374000,1303558000,21939000,0,21939000,125055000,0,53177000,1503729000,0,2026103000,78363000,0,20435000,59438000,123557000,281793000,0,0,18944000,322873000,341817000,0,0,623610000,0,358000,2220811000,-8162000,-810514000,1402493000,1402493000,2026103000,0,2026103000,454891000,0,-87880000,-14207000,64166000,108286000,-1923000,-6734000,91370000,21691000,349242000,-258842000,0,0,585648000,0,326806000,0,0,-837655000,0,1372000,-836283000,110000,-160125000,87880000,248005000,349242000,-258842000,90400000,8.721118109808748,8.721118109808748,3.1327111014644053,533.2333726209783,85.69951052481397,135.30206970331858,35.02244031697219,35.02244031697219,43.86331085531763,3.1327111014644053,-0,65.60220359673055,8.721118109808748,,,,,0.6922120938570251,0.4446439304866406,0.30778790614297497,inf,0.12760373979608564,0.008853381224797561,1.6355161843945032,0.011321240825367713,,0.0165,0.0234,,,Consumer Cyclical
3,CMG,,1058090,,,2015,,4501223000,3326936000,1174287000,0.26088176480036646,0,250214000,0,250214000,147290000,397504000,3724440000,0.0,0,130368000,900235000,0.19999786724630172,763589000,0.16964033996982597,6278000,769867000,0.17103507202375887,294265000,475602000,0.10566061712561231,15.3,15.1,31092000,31494000,,,Restaurants,,248005000,415199000,663204000,96435000,15043000,39965000,814647000,1217220000,21939000,0,21939000,622939000,0,48321000,1910419000,0,2725066000,85709000,0,15634000,51055000,127544000,279942000,0,0,32305000,284845000,317150000,0,0,597092000,0,358000,2197873000,-8273000,-61984000,2127974000,2127974000,2725066000,0,2725066000,1038138000,0,-248005000,11666000,57911000,68458000,-3504000,19525000,65667000,-60689000,683316000,-257418000,0,-559372000,352650000,0,-464140000,0,0,-460675000,0,74235000,-386440000,-4196000,-171460000,248005000,419465000,683316000,-257418000,425898000,6.618381273028712,6.618381273028712,3.1288703694733635,29.612455942346752,46.6762378804376,33.06834798729273,20.610878819011997,20.610878819011997,2.5879664727923557,3.1288703694733635,-0,15.369029499066356,6.618381273028712,,,,,0.7808889766339604,0.2805917741476165,0.21911102336603958,inf,0.26088176480036646,0.16964033996982597,22.349991118312538,0.17452861692157182,,0.0084,0.0153,,,Consumer Cyclical
4,CMG,,1058090,,,2014,,4108269000,2990513000,1117756000,0.2720746864433658,0,273897000,0,273897000,126083000,399980000,3390493000,0.0,0,110474000,824777000,0.20076022285785083,710800000,0.17301690809438233,3503000,714303000,0.17386957864735733,268929000,445374000,0.10840916210696037,14.35,14.13,31038000,31512000,,,Restaurants,,419465000,338592000,758057000,51327000,15332000,53763000,878479000,1106984000,21939000,0,21939000,496106000,0,42777000,1667806000,0,2546285000,69613000,0,22929000,48105000,105063000,245710000,0,0,40529000,247677000,288206000,0,0,533916000,0,354000,1722271000,-429000,290173000,2012369000,2012369000,2546285000,0,2546285000,834698000,0,-419465000,-20671000,96440000,65028000,-10966000,2168000,35856000,-14578000,682067000,-252590000,0,-521004000,254750000,0,-518844000,0,0,-88338000,0,21601000,-66737000,-224000,96262000,419465000,323203000,682067000,-252590000,429477000,10.948297632306002,10.948297632306002,5.362846190944652,49.46856969204758,80.04108948506634,51.299638299666796,32.30183362928569,32.30183362928569,4.315773474985729,5.362846190944652,-0,26.204113060895246,10.948297632306002,,,,,0.7903156952187206,0.26531714610988344,0.2096843047812794,inf,0.2720746864433658,0.17301690809438233,22.13182572381109,0.17491129233373326,,0.0063,0.0132,,,Consumer Cyclical
5,CMG,,1058090,,,2013,,3214591000,2359822000,854769000,0.26590287846883165,0,203733000,0,203733000,111565000,315298000,2675120000,0.0,0,96054000,630525000,0.19614470394522973,532720000,0.16571937145347573,1751000,534471000,0.16626407527427284,207033000,327438000,0.10185992557062469,10.58,10.47,30957000,31281000,,,Restaurants,,323203000,254971000,578174000,27673000,13044000,47416000,666307000,963238000,21939000,0,21939000,313863000,0,43933000,1342973000,0,2009280000,59022000,0,17541000,31508000,91157000,199228000,0,0,55434000,216330000,271764000,0,0,470992000,0,352000,1276897000,1620000,259419000,1538288000,1538288000,2009280000,0,2009280000,568834000,0,-323203000,2103000,63657000,70630000,-7238000,2052000,70049000,-31102000,528780000,-199926000,0,-387639000,159250000,0,-428315000,0,0,-138903000,0,38552000,-100351000,536000,650000,323203000,322553000,528780000,-199926000,328854000,9.94060893758971,9.94060893758971,4.756909803264863,46.7005034277848,116.16344451270191,46.49941749647868,28.918490565806195,28.918490565806195,4.063647129332017,4.756909803264863,,23.739449572002695,9.94060893758971,,,,,0.7655916547220895,0.3061793370292169,0.2344083452779105,inf,0.26590287846883165,0.16571937145347573,21.28587104625402,0.16296285236502628,,0.002,0.0089,,,Consumer Cyclical
6,CB,,896159,,,2018,,32717000000,0,0,0.0,0,2886000000,0,2886000000,24474000000,27360000000,28060000000,0.0,641000000,339000000,5637000000,0.17229574838768835,0,0.0,0,4657000000,0.14234190176360914,695000000,3962000000,0.12109912278020601,8.55,8.49,463629203,466802348,,,Insurance—Property & Casualty,,1247000000,81486000000,82733000000,26270000000,0,3287000000,112290000000,0,15271000000,6438000000,21709000000,96369000000,0,-62597000000,55481000000,0,167771000000,16909000000,509000000,0,0,87646000000,105064000000,12395000000,0,304000000,-304000000,12395000000,0,0,117459000000,0,11121000000,31700000000,-2448000000,9939000000,50312000000,50312000000,167771000000,0,167771000000,177855000000,12904000000,11657000000,16000000,0,270000000,-2146000000,1097000000,7226000000,893000000,5480000000,0,-357000000,-25382000000,23337000000,-533000000,-2935000000,-2001000000,0,-1044000000,-1337000000,2391000000,-1991000000,-65000000,489000000,1340000000,851000000,5480000000,0,5480000000,1.2237629113462103,1.2237629113462103,1.8818950269172152,15.540121048876962,1.2454130186524552,11.235394086797541,11.235394086797541,11.235394086797541,2.039301991625913,1.8818950269172152,0.02171513525070511,12.990413268697983,1.2237629113462103,132.8,135.49,53557383133.0,0.14923770667811895,0.29988496224019645,2.3346120209890286,0.7001150377598035,7.265210608424337,0.0,0.0,7.874860868182541,0.02361552354101722,0.7857525152253692,0.0151,0.023600000000000003,6.502824296164885,5.244148138827498,Financial Services
7,CB,,896159,,,2017,,32243000000,0,0,0.0,0,2833000000,0,2833000000,24771000000,27604000000,28521000000,0.0,607000000,260000000,4589000000,0.14232546599261856,0,0.0,0,3722000000,0.11543590856930186,-139000000,3861000000,0.11974692181248643,8.26,8.19,467145716,471196901,,,Insurance—Property & Casualty,,728000000,82500000000,83228000000,24552000000,0,4726000000,112506000000,0,15541000000,6839000000,22380000000,98434000000,0,-66298000000,54516000000,0,167022000000,15413000000,1013000000,0,0,87560000000,103986000000,11864000000,0,699000000,-699000000,11864000000,0,0,115850000000,0,11121000000,27474000000,543000000,12034000000,51172000000,51172000000,167022000000,0,167022000000,180934000000,12877000000,12149000000,-527000000,0,117000000,-1491000000,-246000000,8520000000,792000000,4503000000,0,0,-27074000000,24746000000,-114000000,-2442000000,-501000000,0,-801000000,-1308000000,291000000,-2319000000,1000000,-257000000,728000000,985000000,4503000000,0,4503000000,1.3972743330299828,1.3972743330299828,2.2175765955342333,18.518860960841824,1.3132535027696317,15.878596973086895,15.878596973086893,15.878596973086893,2.4486290866280505,2.2175765955342333,0.018293368014840314,18.228442399174174,1.3972743330299828,,,,,0.30637880039755244,2.263933401078715,0.6936211996024476,6.13179571663921,0.0,0.0,7.545141874462597,0.023116715163271906,,0.025699999999999997,0.038,,,Financial Services
8,CB,,896159,,,2016,,31469000000,0,0,0.0,0,3081000000,0,3081000000,22341000000,25422000000,26519000000,0.0,605000000,1559000000,7114000000,0.22606374527312592,0,0.0,0,4950000000,0.15729765801264736,815000000,4135000000,0.13139915472369634,8.94,8.87,462519789,465949399,,,Insurance—Property & Casualty,,985000000,83117000000,84102000000,22729000000,0,2218000000,109049000000,0,15332000000,7118000000,22450000000,95241000000,0,-66954000000,50737000000,0,159786000000,14254000000,500000000,0,0,83839000000,98593000000,12918000000,0,988000000,-988000000,12918000000,0,0,111511000000,0,11121000000,23613000000,-314000000,13855000000,48275000000,48275000000,159786000000,0,159786000000,178358000000,13418000000,12433000000,96000000,0,-1667000000,-974000000,751000000,10456000000,1169000000,5292000000,0,-14248000000,-31411000000,40334000000,10000000,-5315000000,0,0,0,-1173000000,431000000,-742000000,-25000000,-790000000,985000000,1775000000,5292000000,0,5292000000,1.2619054274069932,1.2619054274069932,1.935825240969608,14.732402541250927,1.3845307756610497,11.51142942329414,11.511429423294139,11.511429423294139,1.9286803608385064,1.935825240969608,0.01925523934930719,10.310863720561231,1.2619054274069932,,,,,0.3021228392975605,2.30991196271362,0.6978771607024395,8.181818181818182,0.0,0.0,8.565510098394615,0.025878362309589075,,0.0165,0.025,,,Financial Services
9,CB,,896159,,,2015,,18987000000,0,0,0.0,0,2270000000,0,2270000000,13088000000,15358000000,15691000000,0.0,300000000,171000000,3767000000,0.19839890451361458,0,0.0,0,3296000000,0.17359245799757728,462000000,2834000000,0.14926002001369357,8.71,8.62,325589361,328835378,,,Insurance—Property & Casualty,,1775000000,54033000000,55808000000,16896000000,0,645000000,73349000000,0,0,6078000000,6078000000,63613000000,0,-40674000000,29017000000,0,102366000000,10475000000,0,0,0,53000000000,63475000000,9756000000,0,0,-60000000,9696000000,60000000,0,73231000000,0,7833000000,19478000000,-735000000,2559000000,29135000000,29135000000,102366000000,0,102366000000,117646000000,63789000000,62014000000,113000000,0,26000000,198000000,447000000,9874000000,720000000,3864000000,0,264000000,-24528000000,18233000000,-263000000,-6294000000,-1150000000,0,-758000000,-862000000,6465000000,3695000000,-145000000,1120000000,1775000000,655000000,3864000000,0,3864000000,1.263579507485608,1.263579507485608,1.9389260520668452,12.990257216158502,1.1237571022727273,9.527533372306728,9.527533372306726,9.527533372306726,1.1971382808476325,1.9389260520668452,0.02341475777736929,11.891528789645127,1.263579507485608,,,,,0.28461598577652736,2.513506092328814,0.7153840142234726,10.986666666666666,0.0,0.0,9.72713231508495,0.027684973526366178,,0.0084,0.0153,,,Financial Services
