,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
0,RF,,1281761.0,,,2018,,5821000000,0,0,0.0,0,2043000000,92000000,2135000000,0.0,0.0,0.0,4393000000.0,602000000,462000000,3210000000,0.5514516406115788,0,0.0,0,1955000000,0.3358529462291702,387000000,1759000000,0.30218175571207695,1.55,1.54,1092000000,1102000000,,,Banks—Regional,,3538000000,21415000000,24953000000,375000000,0,68742000000,94070000000,2045000000,4829000000,533000000,5362000000,24211000000,0,0,31618000000,0,125688000000,0,1600000000,0,0,0,1600000000,12424000000,0,0,0,12424000000,96574000000,0,110598000000,820000000,11000000,2828000000,-964000000,12395000000,15090000000,15090000000,125688000000,0,125688000000,45626000000,14024000000,10486000000,226000000,0,-183000000,171000000,0,0,11000000,2275000000,0,357000000,-3410000000,3811000000,-3803000000,-3045000000,-17451000000,0,-2122000000,-516000000,20416000000,327000000,0,-443000000,3538000000,3981000000,2275000000,-71000000,2204000000,1.1166043954671967,1.1166043954671967,2.894616101632022,9.57905646822058,15.522666666666666,7.644991074228676,7.406400143999999,7.406400143999999,9.561544481989829,2.894616101632022,0.030623944480900143,8.515750880872273,1.1166043954671967,15.43,18.67,12502887694.0,0.1979539641943734,0.12005919419514989,7.3292246520874755,0.8799408058048501,-4.04983388704319,0.0,0.0,11.656726308813784,0.013994971675895869,1.29467932695494,0.0151,0.2151,10.704881276511495,5.13672587091049,Financial Services
1,RF,,1281761.0,,,2017,,5670000000,0,0,0.0,0,2062000000,93000000,2155000000,0.0,0.0,0.0,3988000000.0,373000000,537000000,2787000000,0.49153439153439155,0,0.0,0,1871000000,0.32998236331569664,614000000,1263000000,0.22275132275132276,1.01,1.0,1186000000,1198000000,,,Banks—Regional,,3911000000,22194000000,26105000000,337000000,0,64896000000,91338000000,2064000000,4904000000,513000000,5417000000,25475000000,0,0,32956000000,0,124294000000,0,500000000,0,0,0,500000000,8132000000,0,0,0,8132000000,99470000000,0,108102000000,820000000,12000000,1628000000,-749000000,14481000000,16192000000,16192000000,124294000000,0,124294000000,47669000000,8632000000,4721000000,209000000,0,-267000000,0,0,-64000000,539000000,2281000000,-150000000,0,-5074000000,4777000000,-338000000,-785000000,-6255000000,0,-1275000000,-410000000,4974000000,-2966000000,0,-1470000000,3981000000,5451000000,2281000000,-191000000,2090000000,1.4026617790019764,1.4026617790019764,4.005626018624339,17.982501603800475,16.82492581602374,10.866937572057417,9.956992339149497,9.956992339149497,19.49474122678918,4.005626018624339,0.018052210892262152,9.843164522999642,1.4026617790019764,,,,,0.13027177498511594,6.676259881422925,0.8697282250148841,-5.6756032171581765,0.0,0.0,7.800148221343874,0.010161391539414614,,0.025699999999999997,0.2257,,,Financial Services
2,RF,,1281761.0,,,2016,,5599000000,0,0,0.0,0,2012000000,101000000,2113000000,0.0,0.0,0.0,3814000000.0,313000000,574000000,2564000000,0.45793891766386857,0,0.0,0,1672000000,0.29862475442043224,514000000,1163000000,0.2077156635113413,0.87,0.87,1255000000,1261000000,,,Banks—Regional,,5436000000,22242000000,27678000000,319000000,0,65159000000,93156000000,2096000000,4904000000,545000000,5449000000,25267000000,0,0,32812000000,0,125968000000,0,0,0,0,0,0,7763000000,0,0,0,7763000000,101541000000,0,109304000000,820000000,13000000,666000000,-550000000,15715000000,16664000000,16664000000,125968000000,0,125968000000,47509000000,7763000000,2327000000,67000000,0,-106000000,-219000000,0,19000000,256000000,1954000000,0,0,-7874000000,6976000000,267000000,-631000000,-3916000000,0,-839000000,-381000000,3950000000,-1186000000,0,137000000,5451000000,5314000000,1954000000,-64000000,1890000000,1.0882591063970235,1.0882591063970235,3.2389265492052153,15.593078030094583,17.551724137931036,9.595105687301587,9.280834057830091,9.280834057830091,17.887854595766637,3.2389265492052153,0.02100938834411042,7.980401618174727,1.0882591063970235,,,,,0.13228756509589737,6.559289486317811,0.8677124349041027,-6.843450479233227,0.0,0.0,6.9791166586653866,0.009232503492950591,,0.0165,0.21650000000000003,,,Financial Services
3,RF,,1281761.0,,,2015,,5352000000,0,0,0.0,0,1988000000,98000000,2086000000,0.0,0.0,0.0,3603000000.0,268000000,523000000,2308000000,0.4312406576980568,0,0.0,0,1530000000,0.2858744394618834,455000000,1062000000,0.1984304932735426,0.75,0.75,1325000000,1334000000,,,Banks—Regional,,5314000000,22710000000,28024000000,319000000,0,65366000000,93709000000,2152000000,4878000000,512000000,5390000000,24799000000,0,0,32341000000,0,126050000000,0,10000000,0,0,0,10000000,8349000000,0,0,0,8349000000,100847000000,0,109206000000,820000000,13000000,-115000000,-380000000,16506000000,16844000000,16844000000,126050000000,0,126050000000,47509000000,8359000000,3045000000,201000000,0,-674000000,0,0,-37000000,460000000,1572000000,-369000000,0,-7819000000,7257000000,-5193000000,-6124000000,-1142000000,0,-623000000,-368000000,7995000000,5862000000,0,1310000000,5314000000,4004000000,1572000000,-4000000,1568000000,0.6387437584599858,0.6387437584599858,2.0102765073804183,10.130884997645952,16.77742946708464,6.861607058354592,6.8441474984096695,6.8441474984096695,12.270038959671743,2.0102765073804183,0.03420392271884188,5.980935817807626,0.6387437584599858,,,,,0.13362951209837365,6.483376870102114,0.8663704879016263,-7.735074626865671,0.0,0.0,6.304915696984089,0.008425228084093614,,0.0084,0.2084,,,Financial Services
4,RF,,1281761.0,,,2014,,5039000000,0,0,0.0,0,1810000000,95000000,1905000000,0.0,0.0,0.0,3588000000.0,309000000,523000000,2444000000,0.48501686842627506,0,0.0,0,1599000000,0.31732486604485016,457000000,1155000000,0.22921214526691805,0.8,0.8,1375000000,1387000000,,,Banks—Regional,,3904000000,22580000000,26484000000,310000000,0,60483000000,87277000000,2193000000,4816000000,532000000,5348000000,24861000000,0,0,32402000000,0,119679000000,0,500000000,0,0,0,500000000,3462000000,0,0,0,3462000000,98728000000,0,102690000000,884000000,14000000,-1061000000,-238000000,17390000000,16989000000,16989000000,119679000000,0,119679000000,47441000000,3962000000,58000000,195000000,0,258000000,-187000000,0,5000000,-35000000,2096000000,-242000000,0,-5965000000,5126000000,-2689000000,-3770000000,-1350000000,0,-256000000,-299000000,2310000000,405000000,0,-1269000000,4004000000,5273000000,2096000000,-263000000,1833000000,0.7041320692801224,0.7041320692801224,2.3739828785473307,10.35714261904762,16.25483870967742,6.526186429350791,5.707299487118321,5.707299487118321,13.017432450813965,2.3739828785473307,0.024994775914195473,4.918371409574468,0.7041320692801224,,,,,0.14195472889980698,6.044499381953028,0.858045271100193,-6.436893203883495,0.0,0.0,6.798516687268233,0.009650815932619758,,0.0063,0.2063,,,Financial Services
5,RF,,1281761.0,,,2013,,5145000000,0,0,0.0,0,1818000000,98000000,1916000000,0.0,0.0,0.0,3646000000.0,384000000,645000000,2603000000,0.5059280855199223,0,0.0,0,1587000000,0.30845481049562684,452000000,1122000000,0.21807580174927113,0.78,0.77,1395000000,1410000000,,,Banks—Regional,,5273000000,21485000000,26758000000,313000000,0,58752000000,85823000000,2216000000,4816000000,592000000,5408000000,23949000000,0,0,31573000000,0,117396000000,0,0,0,0,0,0,4830000000,0,0,0,4830000000,96798000000,0,101628000000,450000000,14000000,-2216000000,-319000000,17839000000,15768000000,15768000000,117396000000,0,117396000000,45434000000,4830000000,-443000000,379000000,0,616000000,31000000,0,5000000,1037000000,3799000000,-186000000,0,-7050000000,9310000000,-2199000000,-125000000,-1717000000,0,-340000000,-170000000,-1663000000,-3890000000,0,-216000000,5273000000,5489000000,3799000000,-214000000,3585000000,0.9227454603310502,0.9227454603310502,2.8279592650145773,12.967781121657753,16.437699680511184,4.058535681589958,3.8299158774677546,3.8299158774677546,16.535698962260113,2.8279592650145773,0.011683968914473965,5.4194584781021895,0.9227454603310502,,,,,0.1343146274149034,6.445205479452055,0.8656853725850966,-5.361979166666667,0.0,0.0,7.115677321156773,0.009557395481958499,,0.002,0.202,,,Financial Services
6,RSG,,1060391.0,,,2018,,10040900000,6150000000,3890900000,0.3875051041241323,0,1024700000,0,1024700000,1148900000.0,2173600000.0,8323600000.0,1600000.0,383800000,0,1704000000,0.1697059028573136,1735800000,0.17287294963598882,-414900000,1320900000,0.13155195251421686,283300000,1036900000,0.10326763537133125,3.17,3.16,326900000,328400000,,,Waste Management,,70500000,0,70500000,1350500000,53100000,90300000,1564400000,8020100000,11400100000,106500000,11506600000,73000000,0,452900000,20052600000,0,21617000000,761500000,690700000,0,338700000,927700000,2718600000,7646800000,0,1028300000,2293800000,10968900000,0,0,13687500000,0,3500000,4750500000,31000000,3142100000,7927100000,7927100000,21614600000,0,21614600000,0,8337500000,8267000000,152100000,39000000,-70900000,-29600000,85900000,25300000,1085700000,2242800000,-1071800000,-188100000,0,0,30800000,-1229100000,-5000700000,23200000,-736900000,-461800000,5116700000,-1059500000,0,-45800000,133300000,179100000,2242800000,-1071800000,1171000000,3.157202913479078,3.157202913479078,2.4925517847443954,24.13681475112354,7.434950018511662,21.37272691327071,11.15902586741573,11.15902586741573,8.157903993116507,2.4925517847443954,0.018451730246280225,19.53900423441315,3.157202913479078,76.56,76.78,22783252086.0,0.21447497918086153,0.36670675856964424,1.7266717967478649,0.6331822176990332,3.4374674309536215,0.3875051041241323,0.17287294963598882,13.080445560167023,0.047966877920155436,0.6457339349580702,0.0151,0.0313,5.346732616516718,3.920886945678378,Industrials
7,RSG,,1060391.0,,,2017,,10041500000,6214600000,3826900000,0.3811084001394214,0,1028000000,0,1028000000,1182700000.0,2210700000.0,8425300000.0,1000000.0,325900000,0,1607400000,0.16007568590350046,1668500000,0.16616043419807797,-386400000,1282100000,0.12768012747099536,3100000,1278400000,0.12731165662500624,3.79,3.77,337100000,339000000,,,Waste Management,,83300000,0,83300000,1217300000,51200000,85000000,1436800000,7777400000,11315400000,141100000,11456500000,26000000,0,450300000,19710200000,0,21147000000,598100000,706700000,0,312100000,1017900000,2634800000,7480700000,0,796400000,2274000000,10551100000,0,0,13185900000,0,3500000,4152500000,23000000,3779800000,7958800000,7958800000,21144700000,0,21144700000,0,8187400000,8104100000,-379000000,34600000,-94800000,-118900000,21700000,38800000,1071500000,1910700000,-989800000,-350000000,0,0,-43600000,-1383400000,-4922800000,36900000,-610700000,-440500000,5425300000,-511800000,0,15500000,83300000,67800000,1910700000,-989800000,920900000,2.89161881864854,2.89161881864854,2.2918703235432956,18.002046193570088,8.24899367452559,24.990569935780215,12.044703958685297,12.044703958685297,6.274286364611742,2.2918703235432956,0.019140676313620413,19.359161287706858,2.89161881864854,,,,,0.3763559843003736,1.6567698648037392,0.6235352532274081,3.930960417305922,0.3811084001394214,0.16616043419807797,16.062723023571394,0.06045301934080484,,0.025699999999999997,0.04189999999999999,,,Industrials
8,RSG,,1060391.0,,,2016,,9387700000,5764000000,3623700000,0.38600509176901693,0,955000000,0,955000000,1136400000.0,2091400000.0,7855400000.0,900000.0,325500000,0,1290800000,0.13749906792931177,1537500000,0.16377813521948933,-571600000,965900000,0.10288995174536894,352700000,612600000,0.06525560041330677,1.79,1.78,343000000,344400000,,,Waste Management,,67800000,0,67800000,1092700000,44000000,80000000,1284500000,7588600000,11163200000,182300000,11345500000,24800000,0,386200000,19345100000,0,20629600000,553800000,5800000,0,312900000,939500000,1812000000,7653100000,0,1210200000,2260600000,11123900000,0,0,12935900000,0,3500000,3324000000,14000000,4349800000,7691300000,7691300000,20627200000,0,20627200000,0,7658900000,7591100000,47200000,23200000,-28500000,-52300000,-9800000,34700000,1193300000,1847800000,-927800000,-47400000,0,0,14000000,-961200000,-4307100000,49700000,-403800000,-418900000,4228900000,-851200000,0,35400000,67800000,32400000,1847800000,-927800000,920000000,2.5620311617541898,2.5620311617541898,2.09906050197599,32.16674873392099,8.591287636130685,21.41885899391304,10.664222466933651,10.664222466933651,11.407356095672974,2.09906050197599,0.021258185932589567,21.146924600557792,2.5620311617541898,,,,,0.37282836312870826,1.6818873272398684,0.6270552991817583,2.964669738863287,0.38600509176901693,0.16377813521948933,7.964843394484678,0.029695195253422266,,0.0165,0.036500000000000005,,,Industrials
9,RSG,,1060391.0,,,2015,,9115000000,5518600000,3596400000,0.3945584201865058,0,964900000,0,964900000,1112400000.0,2077300000.0,7595900000.0,800000.0,325200000,0,1520600000,0.16682391662095447,1558800000,0.1710148107515085,-362900000,1195900000,0.1312013165112452,445500000,749900000,0.08227098189797037,2.14,2.13,350000000,351400000,,,Waste Management,,32400000,0,32400000,1088500000,38800000,70600000,1230300000,7552800000,11145500000,246400000,11391900000,0,0,402200000,19346900000,0,20577200000,577400000,5500000,0,313900000,938000000,1834800000,7568700000,0,1131800000,2265300000,10965800000,0,0,12800600000,0,3500000,3138300000,-31000000,4663300000,7774100000,7774100000,20574700000,0,20574700000,0,7574200000,7541800000,116700000,18900000,5200000,-15700000,35600000,-6000000,789000000,1679700000,-945600000,-572700000,0,0,35500000,-1482800000,-915700000,65900000,-404700000,-399300000,1414100000,-239700000,0,-42800000,32400000,75200000,1679700000,-945600000,734100000,1.9674303494938319,1.9674303494938319,1.6780033219967085,20.396053180424055,8.373909049150207,20.83503648004359,9.105792867774007,9.105792867774007,7.380705762146835,1.6780033219967085,0.02610657029683951,15.018282441141654,1.9674303494938319,,,,,0.37780164453861553,1.6465700209670573,0.622076861769337,3.674969249692497,0.3945584201865058,0.1710148107515085,9.646132671306002,0.036443247866570765,,0.0084,0.024599999999999997,,,Industrials
