date,adjClose,ticker,profit_loss
2019,163.370239,MMM,-0.059890999999993255
2019,41.476135,AOS,1.3298909999999964
2019,64.547363,ABT,-0.3454749999999933
2019,73.738586,ABBV,0.9301909999999936
2019,133.532532,ACN,0.9150089999999977
2019,47.287731,ATVI,1.4332580000000021
2019,37.33009,ADM,0.863788999999997
2019,229.259995,ADBE,4.689988
2019,120.246193,ADP,0.35927600000000837
2019,151.742706,AAP,3.0322419999999966
2019,12.987003,AES,0.46791999999999945
2019,40.689312,AFL,-0.32436799999999977
2019,64.969597,A,1.127334999999995
2019,146.195068,APD,0.3107909999999947
2019,61.240002,AKAM,2.230003999999994
2019,58.497826,ALK,-1.3622279999999947
2019,72.721107,ALB,-1.452896999999993
2019,102.4673,ARE,2.486701999999994
2019,189.919998,ALGN,-12.199996999999996
2019,76.743896,ALLE,-0.6878669999999971
2019,36.538383,LNT,0.24694400000000627
2019,75.11409,ALL,0.8190230000000014
2019,53.796001,GOOGL,1.0619999999999976
2019,53.419498,GOOG,1.1269980000000004
2019,35.961464,MO,-0.39072800000000285
2019,81.475502,AMZN,4.519005000000007
2019,7.953425,AMCR,0.16744000000000003
2019,20.57,AMD,1.740000000000002
2019,57.550957,AEE,0.2884259999999941
2019,32.425678,AAL,0.4625219999999963
2019,63.358242,AEP,0.07808699999999646
2019,92.81382,AXP,2.7228700000000003
2019,36.041718,AIG,0.7046020000000013
2019,146.76918,AMT,2.3495479999999986
2019,82.904182,AWK,0.06532200000000898
2019,101.541359,AMP,2.9940189999999944
2019,69.87014,ABC,0.2804180000000116
2019,66.134773,AME,0.4380259999999936
2019,174.347916,AMGN,5.43103099999999
2019,37.51643,APH,-0.8020020000000017
2019,77.114807,ADI,-2.511459000000002
2019,147.320007,ANSS,4.310012
2019,139.138733,AON,0.18330399999999258
2019,26.702707,APA,1.6798800000000007
2019,35.640198,AAPL,-2.406849000000001
2019,32.696648,AMAT,0.7816680000000034
2019,62.740711,APTV,2.3884199999999964
2019,26.33,ACGL,0.13999899999999954
2019,52.48,ANET,-0.15750100000000344
2019,67.780266,AJG,0.2067869999999914
2019,84.020355,AIZ,0.656920999999997
2019,16.433304,T,0.718195999999999
2019,82.298149,ATO,1.057898999999992
2019,132.720001,ADSK,3.759994000000006
2019,822.320007,AZO,-16.159972999999923
2019,149.441132,AVB,1.330567000000002
2019,84.913322,AVY,0.8315649999999977
2019,19.671293,BKR,1.3085099999999983
2019,44.802547,BALL,1.707587999999994
2019,23.335649,BAC,0.5477859999999986
2019,21.076815,BBWI,1.8689499999999981
2019,62.742233,BAX,0.824936000000001
2019,202.275635,BDX,-1.3321990000000028
2019,29.763668,WRB,0.04514299999999949
2019,196.91,BRK.B,-5.890000000000015
2019,49.24902,BBY,1.9077720000000014
2019,233.669998,BIO,5.589995999999985
2019,35.778973,TECH,0.9736979999999988
2019,322.399994,BIIB,17.709992
2019,354.510956,BLK,3.1488950000000386
2019,42.30558,BK,0.2655069999999995
2019,318.823425,BA,4.178282999999965
2019,1711.819946,BKNG,-9.880004999999983
2019,33.852802,BWA,1.0640259999999984
2019,96.153343,BXP,2.6221240000000137
2019,34.419998,BSX,-0.04000100000000373
2019,42.67897,BMY,-3.1826399999999992
2019,206.217468,AVGO,-13.457306000000017
2019,90.689865,BR,1.9323650000000043
2019,26.455425,BRO,0.2899780000000014
2019,45.9409,BF.B,0.764800000000001
2019,75.406204,CHRW,0.09980000000000189
2019,43.419998,CDNS,0.18999800000000278
2019,40.799999,CZR,2.8499979999999994
2019,75.550133,CPT,0.7807010000000076
2019,29.430462,CPB,1.2491969999999988
2019,74.268959,COF,2.5257799999999975
2019,39.578945,CAH,0.6308439999999962
2019,66.43,KMX,3.4599990000000034
2019,48.06736,CCL,0.7498670000000018
2019,32.0,CTLT,1.0899999999999999
2019,115.298897,CAT,1.6634449999999958
2019,96.550003,CBOE,0.6600040000000007
2019,40.009998,CBRE,0.07999800000000334
2019,74.12516,CDW,-1.5289460000000048
2019,84.038719,CE,1.010436999999996
2019,57.25,CNC,0.75
2019,25.278732,CNP,0.6936530000000012
2019,35.91,CDAY,2.1500019999999935
2019,39.554104,CF,1.865166000000002
2019,112.559998,CRL,1.4700019999999938
2019,40.292831,SCHW,1.093586000000002
2019,301.470001,CHTR,13.480011000000047
2019,92.814308,CVX,1.2980349999999987
2019,485.149994,CMG,41.790009
2019,117.660545,CB,0.06466600000000255
2019,62.568176,CHD,1.3770900000000026
2019,180.141205,CI,-0.6471859999999765
2019,68.265343,CINF,-0.06325499999999806
2019,165.730194,CTAS,5.139191000000011
2019,38.258633,CSCO,0.522393000000001
2019,48.012581,C,1.7958339999999993
2019,26.733271,CFG,1.2527279999999976
2019,138.496536,CLX,3.3533479999999827
2019,160.183456,CME,-1.5953069999999911
2019,43.157253,CMS,0.2575259999999986
2019,41.431641,KO,0.017646999999996638
2019,59.998436,CTSH,0.4811169999999976
2019,54.108383,CL,0.5692710000000005
2019,32.421841,CMCSA,0.970006999999999
2019,60.476379,CMA,2.003868000000004
2019,19.442289,CAG,0.854022999999998
2019,54.727596,COP,0.07760199999999884
2019,64.442268,ED,0.25627099999999814
2019,159.793411,STZ,5.710937000000001
2019,246.572937,COO,-3.8569180000000074
2019,24.415001,CPRT,0.5750010000000003
2019,26.100988,GLW,-0.6078319999999984
2019,34.186001,CSGP,0.7140009999999961
2019,194.926437,COST,2.109404999999981
2019,19.987993,CTRA,0.4484189999999977
2019,95.171036,CCI,2.3223119999999966
2019,19.793877,CSX,0.15847599999999673
