date,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
2018,MMM,,66740,,,2018,,32765000000,16682000000,16083000000,0.4908591484816115,1821000000,7602000000,0,7529000000,73000000,9423000000,26105000000,70000000.0,350000000,1488000000,8824000000,0.26931176560354037,7207000000,0.21996032351594688,-207000000,7000000000,0.21364260643979857,1637000000,5349000000,0.16325347169235466,9.09,8.89,588500000,602000000,,,Conglomerates,,2853000000,380000000,3233000000,5123000000,4366000000,987000000,13709000000,8738000000,10051000000,2657000000,12708000000,188000000,365000000,792000000,22791000000,0,36500000000,2266000000,1211000000,516000000,617000000,2634000000,7244000000,13411000000,0,279000000,5718000000,19408000000,0,75000000,26652000000,0,9000000,40636000000,-6866000000,-23983000000,9796000000,9796000000,36448000000,0,36448000000,568000000,14622000000,11769000000,-57000000,302000000,-272000000,-305000000,408000000,6465000000,-371000000,6439000000,-1577000000,859000000,-1828000000,2497000000,271000000,222000000,-1034000000,485000000,-4870000000,-3193000000,1911000000,-6701000000,-160000000,-200000000,2853000000,3053000000,6439000000,-1577000000,4862000000,11.971253320799306,11.971253320799306,3.579136198094003,21.923798379239113,6.395666601600625,24.119785588348417,18.21251708814257,18.21251708814257,2.396388437255241,3.579136198094003,0.02722767268839687,14.623685123589075,11.971253320799306,,,104892263902.0,0.23385714285714285,0.26838356164383564,2.720702327480604,0.7301917808219178,19.8,0.4908591484816115,0.21996032351594688,54.6039199673336,0.14654794520547945,0.9645666003346541,0.0151,0.022,7.979238894885279,7.005079230415246,Industrials
2017,MMM,,66740,,,2017,,31657000000,16001000000,15656000000,0.49455096819028965,1850000000,6572000000,0,6572000000,0,8422000000,24423000000,50000000.0,322000000,1544000000,9403000000,0.29702751366206526,7820000000,0.2470227753735351,-272000000,7548000000,0.23843067883880342,2679000000,4858000000,0.15345737119752345,8.13,7.93,597500000,612700000,,,Conglomerates,,3053000000,1076000000,4129000000,4982000000,4034000000,1132000000,14277000000,8866000000,10513000000,2936000000,13449000000,150000000,511000000,734000000,23710000000,0,37987000000,1945000000,1853000000,587000000,513000000,2789000000,7687000000,12096000000,37000000,235000000,6310000000,18678000000,0,60000000,26365000000,0,9000000,39115000000,-7026000000,-20535000000,11563000000,11563000000,37928000000,0,37928000000,1226000000,13949000000,10896000000,107000000,324000000,359000000,-245000000,24000000,6590000000,-952000000,6240000000,-1373000000,-958000000,-2152000000,1354000000,43000000,-3086000000,-962000000,734000000,-2068000000,-2803000000,2444000000,-2655000000,156000000,655000000,3053000000,2398000000,6240000000,-1373000000,4867000000,12.99793704027934,12.99793704027934,4.747611776123764,30.937658706617945,6.354275391409073,30.880449146650914,24.08576057640224,24.08576057640224,3.433367584919061,4.747611776123764,0.018649970239628447,17.142523236919068,12.99793704027934,,,,,0.30439360833969514,2.280117616535501,0.6940532287361466,23.285714285714285,0.49455096819028965,0.2470227753735351,42.01331834299057,0.12788585568747202,,0.025699999999999997,0.0326,,,Industrials
2016,MMM,,66740,,,2016,,30109000000,15040000000,15069000000,0.5004815835796605,1735000000,6111000000,0,6111000000,0,7846000000,22886000000,29000000.0,199000000,1474000000,8718000000,0.2895479756883324,7223000000,0.23989504799229466,-170000000,7053000000,0.23424889567903284,1995000000,5050000000,0.16772393636454216,8.35,8.16,604700000,618700000,,,Conglomerates,,2398000000,280000000,2678000000,4501000000,3385000000,1162000000,11726000000,8516000000,9166000000,2320000000,11486000000,145000000,422000000,611000000,21180000000,0,32906000000,2376000000,972000000,389000000,551000000,1931000000,6219000000,10678000000,15000000,145000000,5506000000,16344000000,0,45000000,22563000000,0,9000000,37907000000,-7245000000,-20373000000,10298000000,10298000000,32861000000,0,32861000000,425000000,11650000000,9252000000,7000000,298000000,-7000000,-313000000,148000000,5507000000,-160000000,6662000000,-1420000000,126000000,-1410000000,1247000000,54000000,-1403000000,-992000000,804000000,-3753000000,-2678000000,1993000000,-4626000000,-33000000,600000000,2398000000,1798000000,6662000000,-1420000000,5242000000,10.300686823804623,10.300686823804623,3.523081899483211,21.00524216070099,6.6894023550322155,20.23587808308661,15.922616768468929,15.922616768468929,2.3591883236582265,3.523081899483211,0.02524593744961011,13.228776429403533,10.300686823804623,,,,,0.31295204521971676,2.1910079627112062,0.6856804230231569,35.2964824120603,0.5004815835796605,0.23989504799229466,49.03864828121966,0.1534674527441804,,0.0165,0.0234,,,Industrials
2015,MMM,,66740,,,2015,,30274000000,15383000000,14891000000,0.4918742154984475,1763000000,6182000000,0,6182000000,0,7945000000,23328000000,26000000.0,149000000,1435000000,8399000000,0.2774327806038185,6946000000,0.2294378014137544,-123000000,6823000000,0.22537490916297814,1982000000,4833000000,0.15964193697562265,7.72,7.58,625600000,637200000,,,Conglomerates,,1798000000,118000000,1916000000,4260000000,3518000000,1292000000,10986000000,8515000000,9249000000,2601000000,11850000000,126000000,510000000,731000000,21732000000,0,32718000000,2260000000,2044000000,421000000,518000000,1875000000,7118000000,8753000000,19000000,551000000,4530000000,13853000000,0,46000000,20971000000,0,9000000,36575000000,-6359000000,-18517000000,11708000000,11708000000,32679000000,0,32679000000,244000000,10797000000,8999000000,395000000,276000000,-790000000,-58000000,9000000,3868000000,271000000,6420000000,-1461000000,-2791000000,-652000000,1952000000,135000000,-2817000000,-800000000,635000000,-5238000000,-2561000000,4316000000,-3648000000,-54000000,-99000000,1798000000,1897000000,6420000000,-1461000000,4959000000,8.068466006149642,8.068466006149642,3.1203540992270598,19.545954893440925,7.106572769953051,19.04932446057673,14.714267912772584,14.714267912772584,2.2711644467564343,3.1203540992270598,0.027110397859114854,12.318680795332778,8.068466006149642,,,,,0.3578458340974387,1.791168431841476,0.6409621615013142,45.61744966442953,0.4918742154984475,0.2294378014137544,41.27946703108985,0.1477168531083807,,0.0084,0.0153,,,Industrials
2014,MMM,,66740,,,2014,,31821000000,16447000000,15374000000,0.4831400647371233,1770000000,6469000000,0,6469000000,0,8239000000,24686000000,33000000.0,142000000,1408000000,8534000000,0.26818767480594574,7135000000,0.2242229973916596,-109000000,7026000000,0.22079758649948147,2028000000,4956000000,0.15574620533609881,7.63,7.49,649200000,662000000,,,Conglomerates,,1897000000,626000000,2523000000,4315000000,3706000000,1221000000,11765000000,8489000000,7050000000,1435000000,8485000000,930000000,889000000,711000000,19504000000,0,31269000000,2340000000,106000000,525000000,541000000,2486000000,5998000000,6731000000,21000000,141000000,5236000000,12129000000,0,59000000,18127000000,0,9000000,34317000000,-6289000000,-14928000000,13109000000,13109000000,31236000000,0,31236000000,1556000000,6837000000,4940000000,-146000000,280000000,-100000000,-268000000,75000000,5767000000,228000000,6626000000,-1493000000,-94000000,-1280000000,2034000000,237000000,-596000000,-1625000000,968000000,-5652000000,-2216000000,1922000000,-6603000000,-111000000,-684000000,1897000000,2581000000,6626000000,-1493000000,5133000000,8.037620109277595,8.037620109277595,3.3111832441632885,21.260121471452784,7.374507531865585,20.52701383450614,15.90177513017205,15.90177513017205,2.5635347064017733,3.3111832441632885,0.02103161953793308,12.925376378312633,8.037620109277595,,,,,0.419233106271387,1.3827904493096346,0.579711535386485,49.24647887323944,0.4831400647371233,0.2242229973916596,37.8060874208559,0.1584956346541303,,0.0063,0.0132,,,Industrials
2013,MMM,,66740,,,2013,,30871000000,16106000000,14765000000,0.4782805869586343,1715000000,6384000000,0,6384000000,0,8099000000,24205000000,41000000.0,145000000,1371000000,8016000000,0.25966117067798256,6666000000,0.2159308088497295,-104000000,6562000000,0.21256195134592337,1841000000,4659000000,0.15091833759839332,6.83,6.72,681900000,693600000,,,Conglomerates,,2581000000,756000000,3337000000,4352000000,3864000000,1180000000,12733000000,8652000000,7345000000,1688000000,9033000000,1575000000,360000000,1197000000,20817000000,0,33550000000,2346000000,1683000000,505000000,521000000,2443000000,7498000000,4326000000,19000000,538000000,3221000000,8104000000,0,58000000,15602000000,0,9000000,32416000000,-3913000000,-11010000000,17502000000,17502000000,33104000000,0,33104000000,2331000000,6009000000,3428000000,-167000000,240000000,-160000000,-337000000,16000000,5235000000,-126000000,5817000000,-1665000000,8000000,-4040000000,4667000000,174000000,-856000000,-859000000,1609000000,-5212000000,-1730000000,946000000,-5246000000,-17000000,-302000000,2581000000,2883000000,5817000000,-1665000000,4152000000,4.988989664832019,4.988989664832019,2.828457034559619,18.741639217405023,7.0935202205882355,21.03017753224711,15.01070949181537,15.01070949181537,2.373685695087014,2.828457034559619,0.019812798347886563,11.320521097042166,4.988989664832019,,,,,0.5216691505216096,0.891440978173923,0.46503725782414307,44.97241379310345,0.4782805869586343,0.2159308088497295,26.619814878299625,0.13886736214605067,,0.002,0.0089,,,Industrials
2018,AOS,,91142,,,2018,,3187900000,1882400000,1305500000,0.4095172370526052,0,0,0,753800000,0,753800000,2636200000,0.0,8400000,71900000,638100000,0.2001631167853446,551700000,0.1730606355280906,6100000,557800000,0.17497412089463282,113600000,444200000,0.13933937701935442,2.641545,2.58,168159148,172194000,,,Specialty Industrial Machinery,,259700000,385300000,645000000,647300000,304700000,41500000,1638500000,540000000,513000000,293100000,806100000,0,0,86900000,1433000000,0,3071500000,543800000,0,0,0,241500000,785300000,221400000,0,0,347800000,569200000,0,0,1354500000,0,295500000,2102800000,-350800000,-330500000,1717000000,1717000000,3071500000,0,3071500000,0,221400000,-38300000,0,10100000,-77300000,-54600000,8800000,-37300000,0,448900000,0,0,-523400000,595900000,-85200000,-12700000,-189000000,0,-202600000,-130100000,-1400000,-523100000,0,-86900000,259700000,346600000,448900000,-85200000,363700000,4.681425241626489,4.681425241626489,2.5214113177554762,18.09546857242837,4.924918893866831,22.100652020546278,17.906008331193323,17.906008331193323,8.82261112728423,2.5214113177554762,0.0161856039359105,12.536760915017524,4.681425241626489,47.8,49.34,6442533684.0,0.2036572248117605,0.5590102555754517,0.7888759464181713,0.44098974442454825,66.4047619047619,0.4095172370526052,0.1730606355280906,25.87070471753058,0.14461989256063812,1.1452919808662925,0.0151,0.022,9.471434490177085,9.157341212994373,Industrials
2017,AOS,,91142,,,2017,,2996700000,1758000000,1238700000,0.4133546901591751,0,0,0,718200000,0,718200000,2476200000,0.0,10100000,70100000,601000000,0.20055394267027063,520500000,0.1736910601661828,300000,520800000,0.17379117028731605,224300000,296500000,0.09894216972002536,1.72722,1.7,171663130,174605000,,,Specialty Industrial Machinery,,346600000,473400000,820000000,598400000,291200000,57200000,1766800000,528900000,516700000,308700000,825400000,0,0,76200000,1430500000,0,3197300000,535000000,7500000,0,0,246000000,788500000,402900000,0,0,357100000,760000000,0,0,1548500000,0,295700000,1792600000,-299500000,-140000000,1648800000,1648800000,3197300000,0,3197300000,0,410400000,63800000,81800000,9900000,-122800000,-75800000,-5100000,5000000,-9100000,326400000,0,-43100000,-583500000,562700000,-94200000,-158100000,0,0,-139100000,-96900000,83900000,-152100000,0,16200000,346600000,330400000,326400000,-94200000,232200000,6.9152503551712545,6.9152503551712545,3.8048068827731725,38.454855937964126,5.007854278074866,49.10363818090597,34.93218377943126,34.93218377943126,19.139695372600777,3.8048068827731725,0.008498609817082368,19.07764523395402,6.9152503551712545,,,,,0.5156851093109811,0.9391678796700631,0.48431489068901884,51.56435643564357,0.4133546901591751,0.1736910601661828,17.982775351770986,0.09273449472992838,,0.025699999999999997,0.0326,,,Industrials
2016,AOS,,91142,,,2016,,2685900000,1566600000,1119300000,0.41673182173573103,0,0,0,658900000,0,658900000,2225500000,0.0,7300000,65100000,534900000,0.1991511225287613,460400000,0.17141367884135672,2100000,462500000,0.17219553967012918,136000000,326500000,0.12156074314010201,1.882478,1.85,173441584,176825000,,,Specialty Industrial Machinery,,330400000,424200000,754600000,518700000,251100000,37600000,1562000000,461900000,491500000,308300000,799800000,0,0,67300000,1329000000,0,2891000000,528600000,7200000,0,0,229800000,765600000,316400000,0,0,293700000,610100000,0,0,1375700000,0,296000000,1593000000,-363200000,-10500000,1515300000,1515300000,2891000000,0,2891000000,0,323600000,-6800000,0,9400000,53700000,-15100000,101500000,-15100000,-8100000,446600000,0,-90800000,-563800000,435100000,-80700000,-300200000,0,0,-135200000,-84200000,79800000,-139600000,0,6800000,330400000,323600000,446600000,-80700000,365900000,5.5455981545260125,5.5455981545260125,3.1286514328728794,25.73735033247555,5.178137651821863,22.96596032673754,18.816043178578745,18.816043178578745,12.942669787264384,3.1286514328728794,0.010019938864901493,15.697223562447684,5.5455981545260125,,,,,0.524143894846074,0.9078730284432126,0.47585610515392596,63.35616438356164,0.41673182173573103,0.17141367884135672,21.546888404936315,0.11293670010377033,,0.0165,0.0234,,,Industrials
2015,AOS,,91142,,,2015,,2536500000,1526700000,1009800000,0.39810762862211707,0,0,0,610700000,0,610700000,2137400000,0.0,7400000,63000000,472900000,0.18643800512517247,399100000,0.15734279519022276,3400000,402500000,0.15868322491622314,119600000,282900000,0.11153163808397398,1.608329,1.58,175896866,179010000,,,Specialty Industrial Machinery,,323600000,321600000,645200000,501400000,222900000,85800000,1455300000,442700000,420900000,291000000,711900000,0,0,36600000,1191200000,0,2646500000,424900000,12900000,0,0,215400000,653200000,236100000,0,21300000,293600000,551000000,0,0,1204200000,0,148100000,1350700000,-313400000,256900000,1442300000,1442300000,2646500000,0,2646500000,0,249000000,-74600000,0,8800000,-9800000,-25900000,31000000,-19900000,-500000,344400000,0,0,-428800000,315400000,-72700000,-186100000,-33600000,0,-128100000,-67800000,75400000,-154100000,0,4200000,323600000,319400000,344400000,-72700000,271700000,4.259306596639054,4.259306596639054,2.4219191422560646,21.715086264872774,5.058835261268448,22.6102241602227,17.837392289002636,17.837392289002636,11.074559637317387,2.4219191422560646,0.011036597071402154,12.83272976175197,4.259306596639054,,,,,0.5449839410542225,0.8349164528877487,0.45501605894577746,54.391891891891895,0.39810762862211707,0.15734279519022276,19.61450461069126,0.10689590024560741,,0.0084,0.0153,,,Industrials
